admin1_pcode,state_name,township_name,admin3_pcode
MMR017,Ayeyarwady,Bogale,MMR017024
MMR017,Ayeyarwady,Danubyu,MMR017022
MMR017,Ayeyarwady,Dedaye,MMR017026
MMR017,Ayeyarwady,Einme,MMR017015
MMR017,Ayeyarwady,Hinthada,MMR017008
MMR017,Ayeyarwady,Ingapu,MMR017013
MMR017,Ayeyarwady,Kangyidaunt,MMR017002
MMR017,Ayeyarwady,Kyaiklat,MMR017025
MMR017,Ayeyarwady,Kyangin,MMR017012
MMR017,Ayeyarwady,Kyaunggon,MMR017007
MMR017,Ayeyarwady,Kyonpyaw,MMR017005
MMR017,Ayeyarwady,Labutta,MMR017016
MMR017,Ayeyarwady,Lemyethna,MMR017010
MMR017,Ayeyarwady,Maubin,MMR017019
MMR017,Ayeyarwady,Mawlamyinegyun,MMR017018
MMR017,Ayeyarwady,Myanaung,MMR017011
MMR017,Ayeyarwady,Myaungmya,MMR017014
MMR017,Ayeyarwady,Ngapudaw,MMR017004
MMR017,Ayeyarwady,Nyaungdon,MMR017021
MMR017,Ayeyarwady,Pantanaw,MMR017020
MMR017,Ayeyarwady,Pathein,MMR017001
MMR017,Ayeyarwady,Pyapon,MMR017023
MMR017,Ayeyarwady,Thabaung,MMR017003
MMR017,Ayeyarwady,Wakema,MMR017017
MMR017,Ayeyarwady,Yegyi,MMR017006
MMR017,Ayeyarwady,Zalun,MMR017009
MMR007,Bago (East),Bago,MMR007001
MMR007,Bago (East),Daik-U,MMR007007
MMR007,Bago (East),Htantabin,MMR007014
MMR007,Bago (East),Kawa,MMR007003
MMR007,Bago (East),Kyaukkyi,MMR007011
MMR007,Bago (East),Kyauktaga,MMR007006
MMR007,Bago (East),Nyaunglebin,MMR007005
MMR007,Bago (East),Oktwin,MMR007013
MMR007,Bago (East),Phyu,MMR007012
MMR007,Bago (East),Shwegyin,MMR007008
MMR007,Bago (East),Taungoo,MMR007009
MMR007,Bago (East),Thanatpin,MMR007002
MMR007,Bago (East),Waw,MMR007004
MMR007,Bago (East),Yedashe,MMR007010
MMR008,Bago (West),Gyobingauk,MMR008014
MMR008,Bago (West),Letpadan,MMR008008
MMR008,Bago (West),Minhla,MMR008009
MMR008,Bago (West),Monyo,MMR008013
MMR008,Bago (West),Nattalin,MMR008012
MMR008,Bago (West),Okpho,MMR008010
MMR008,Bago (West),Padaung,MMR008003
MMR008,Bago (West),Paukkhaung,MMR008002
MMR008,Bago (West),Paungde,MMR008004
MMR008,Bago (West),Pyay,MMR008001
MMR008,Bago (West),Shwedaung,MMR008006
MMR008,Bago (West),Thayarwady,MMR008007
MMR008,Bago (West),Thegon,MMR008005
MMR008,Bago (West),Zigon,MMR008011
MMR004,Chin,Falam,MMR004001
MMR004,Chin,Hakha,MMR004002
MMR004,Chin,Kanpetlet,MMR004008
MMR004,Chin,Matupi,MMR004007
MMR004,Chin,Mindat,MMR004006
MMR004,Chin,Paletwa,MMR004009
MMR004,Chin,Tedim,MMR004004
MMR004,Chin,Thantlang,MMR004003
MMR004,Chin,Tonzang,MMR004005
MMR001,Kachin,Bhamo,MMR001010
MMR001,Kachin,Chipwi,MMR001005
MMR001,Kachin,Hpakant,MMR001009
MMR001,Kachin,Injangyang,MMR001003
MMR001,Kachin,Khaunglanhpu,MMR001018
