data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,admin3_pcode,inter_type,has_fatalities,month,civ_involved
7458140,104,MMR10937,10937,2021-01-02T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Shan-North,Kyaukme,Namtu,Pang Chin,22.9605,97.5116,1,Shan Herald Agency for News; Mizzima; Shwe Phee Myay News Agency,Subnational-National,"On 2 January 2021, at Pang Chin village (Namtu Township, Kyaukme District, Shan State), six artillery shells landed in the village. The shelling destroyed a home and a monastery in the village.",0,1618492757,MMR,MMR015015,political militia versus civilians,FALSE,Jan,yes
7534466,104,MMR10968,10968,2021-01-12T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Chin,Matupi,Paletwa,Paletwa,21.3045,92.8555,1,Khonumthung News; Narinjara News,Subnational-National,"On 12 January 2021, in Paletwa Town (Paletwa Township, Mindat District, Chin State), a woman who went to cut bamboo in the forest stepped a landmine. She was injured. She is the wife of a soldier from Myanmar military LIB 289 based in Paletwa Township.",0,1618492300,MMR,MMR004009,political militia versus civilians,FALSE,Jan,yes
7534467,104,MMR10969,10969,2021-01-10T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Rakhine,Mrauk-U,Minbya,Sa Par Htar,20.4668,93.3049,1,Narinjara News; Development Media Group; Radio Free Asia; Myanmar Now,Subnational-National,"On 10 January 2021, in Sa Par Htar village (Minbya Township, Mrauk-U District, Rakhine State), an unexploded bomb was found near the village and brought to the village by a young man. Villagers accidentally detonated it. The explosion killed a woman and injured nine villagers, including three children.",1,1611074486,MMR,MMR012005,political militia versus civilians,TRUE,Jan,yes
7588509,104,MMR11022,11022,2021-01-02T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,NA,NA,0,30,Southeast Asia,Myanmar,Mon,Thaton,Bilin,Lay Kay,17.3669,97.4321,1,Democratic Voice of Burma,National,"On 2 January 2021, in Lay Kay village (Bilin Township, Thaton District, Mon State), an explosion happened at Myanmar military camp in the village. Villagers fled out of fear. Casualties unknown.",0,1612284392,MMR,MMR011010,sole political militia action,FALSE,Jan,no
7588586,104,MMR11046,11046,2021-01-26T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Shan-North,Kyaukme,Kyaukme,Nyaung Mawng,22.7875,96.8089,2,Shan Herald Agency for News,Subnational,"On 26 January 2021, near Nyaung Mawng village (Kyaukme Township, Kyaukme District, Shan State), a man stepped a landmine while he was looking for his horse. He was injured. TNLA and RCSS fought around the areas in early January 2021.",0,1618491587,MMR,MMR015012,political militia versus civilians,FALSE,Jan,yes
7665277,104,MMR11103,11103,2021-02-04T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Rakhine,Maungdaw,Buthidaung,Pyin Shey,20.8093,92.5116,2,Development Media Group,Subnational,"On 4 February 2021, near Pyin Shey village (Buthidaung Township, Maungdaw District, Rakhine State), three children found an unexploded shell in a forest. The shell exploded as children hit it against a tree. One child died and another two were injured.",1,1612888443,MMR,MMR012010,political militia versus civilians,TRUE,Feb,yes
7665385,104,MMR11064,11064,2021-01-25T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Shan-North,Muse,Muse,Muse,23.9933,97.9103,2,Twitter,New media,"On 25 January 2021, in Muse township (Muse District, Shan State), a 40-year-old man died after stepping a landmine near a Tatmadaw base. He was reportedly detained by an armed group and stepped a landmine when he attempted to flee.",1,1618491645,MMR,MMR015009,political militia versus civilians,TRUE,Jan,yes
7665386,104,MMR11067,11067,2021-02-04T00:00:00Z,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),NA,3,Civilians (Myanmar),NA,7,37,Southeast Asia,Myanmar,Shan-North,Pa Laung Self-Administered Zone,Manton,Manton,23.2515,97.119,2,Twitter,New media,"On 4 February 2021, in Manton township (Kyaukme District, Shan State), an unexploded ordnance detonated as people burned trash. Five people died and at least 6 were injured.",5,1618491157,MMR,MMR015019,political militia versus civilians,TRUE,Feb,yes
7670378,104,MMR10947,10947,2021-01-07T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-2021),NA,1,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,NA,2,12,Southeast Asia,Myanmar,Kachin,Myitkyina,Waingmaw,Wa Shawng,25.3742,97.5872,2,Kachin News Group,Subnational,"On 7 January 2021, near Wa Shawng village (Waingmaw Township, Myitkyina District, Kachin State), a Myanmar military column shelled Wa Shaga Bum, a KIA battalion 3 front line camp. The shelling was believed to be from Myanmar military LIB 389. The shelling of KIA front line camp reportedly raised tensions between KIA and the Myanmar military. Casualties unknown.",0,1612998730,MMR,MMR001002,military versus rebels,FALSE,Jan,no
7671336,104,MMR10974,10974,2021-01-15T00:00:00Z,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2016-2021),NA,1,Civilians (Myanmar),NA,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Me Waing,17.8791,97.2782,1,Karen Information Center News,Subnational,"On 15 January 2021, in Me Waing village (Hpapun Township, Hpapun District, Kayin State), KNA accused Myanmar military of firing an artillery shell at the village. A child was injured. However, the Myanmar military blamed KNLA for the incident while the KNLA made a statement blaming the Myanmar military.",0,1612998732,MMR,MMR003003,military versus civilians,FALSE,Jan,yes
